,product_name,brand_name,current_price,original_price,discounted,number_of_reviews,number_of_stars,product_shipping,page,page_rank
1714,OtterBox DEFENDER SERIES SCREENLESS EDITION Case for iPhone Xs & iPhone X - Frustration Free Packaging - BLACK,OtterBox,$32.99,$32.99,False,300,4.4 out of 5 stars,[],7,33
1715,OtterBox STRADA SERIES Case for iPhone Xs Max - Retail Packaging - ESPRESSO (DARK BROWN/WORN BROWN LEATHER),OtterBox,$29.90,$59.95,True,169,4.5 out of 5 stars,[],7,34
1716,OtterBox Symmetry Series Case for iPhone 8 & iPhone 7 (NOT Plus) - Bulk Packaging - Purple Marble,OtterBox,$19.95,$19.95,False,2,4.0 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,35
1717,OtterBox Strada Series Case for iPhone Xs & iPhone X - Retail Packaging - Royal Blush (Winter Bloom/Cameo Rose),OtterBox,$26.90,$26.90,False,440,4.0 out of 5 stars,[],7,36
1718,OtterBox Defender Series Case for iPhone Xs & iPhone X - Non-Retail Packaging - Big Sur,OtterBox,$22.97,$22.97,False,9,4.7 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,37
1719,OtterBox DEFENDER SERIES SCREENLESS EDITION Case for iPhone Xs & iPhone X - Retail Packaging - BIG SUR (PALE BEIGE/CORSAIR),OtterBox,$19.93,$49.95,True,"2,011",4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,38
1720,"OtterBox Commuter Series Case for iPhone 6 Plus/6s Plus (5.5"" Version) - Frustration Free Packaging - Glacier (White/Gunmetal Grey)",OtterBox,$27.19,$27.19,False,702,4.3 out of 5 stars,[],7,39
1721,"OtterBox Symmetry Clear Series Case for iPhone 6/6s (4.7"" Version) - Bulk Packaging - Clear (Clear/Clear)",OtterBox,$19.95,$19.95,False,94,4.0 out of 5 stars,[],7,40
1722,OtterBox DEFENDER SERIES Case for iPhone 5/5s/SE - Frustration Free Packaging - KEY LIME (GLOW GREEN/SLATE GREY),OtterBox,$26.43,$26.43,False,440,4.6 out of 5 stars,[],7,41
1723,"OtterBox Commuter Series Case for iPhone 5, 5S and SE - Bulk Packaging - Black",OtterBox,$18.95,$18.95,False,14,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,42
1724,OtterBox 77-57081 SYMMETRY SERIES Case for iPhone X (ONLY) - BLACK - Renewed,OtterBox,$11.99,$11.99,False,52,4.6 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,43
1725,OtterBox Symmetry Series Cell Phone Case for iPhone 8 & iPhone 7 - Anegada by Trefle,OtterBox,$31.15,$31.15,False,55,4.8 out of 5 stars,[],7,44
1726,OtterBox Strada Series Case for iPhone XR - Retail Packaging - Espresso (Dark Brown/Worn Brown Leather),OtterBox,$35.68,$59.95,True,111,4.5 out of 5 stars,[],7,45
1727,OtterBox SYMMETRY SERIES Case for iPhone 6/iPhone 6s - Retail Packaging - TEAL ROSE II (LIGHT TEAL/BLAZE PINK),OtterBox,$21.95,$21.95,False,306,4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],7,46
1728,OtterBox Symmetry Series Marvel Case for iPhone Xs & iPhone X - Retail Packaging - Infinity WAR,OtterBox,$30.18,$30.18,False,47,4.5 out of 5 stars,[],7,47
1729,OtterBox Symmetry Series Slim Case for iPhone 6s & iPhone 6 (NOT Plus) - Non-Retail Packaging - Rose,OtterBox,$27.96,$27.96,False,41,4.5 out of 5 stars,[],7,48
1730,"VIVIBIN iPhone 6 Case,iPhone 6s Case,Cute Pink Purple Marble for Girls Women Clear Bumper Best Protective Soft Silicone Rubber Matte TPU Cover Slim Fit Thin Phone Case for iPhone 6/iPhone 6s",VIVIBIN,$6.85,$6.85,False,"1,204",4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,1
1731,"VIVIBIN iPhone X Case,iPhone Xs Case, Cute Grey Marble Floral for Girls Women Clear Bumper Soft iPhone X Silicone Case,Matte TPU Cover Best Protective Slim Fit Phone Case for iPhone X/Xs[5.8""]",VIVIBIN,$8.80,$8.80,False,36,4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,2
1732,"iPhone 7 Case,iPhone 8 Case,Pink Marble for Girls Women,VIVIBIN Anti-Scratch Shock Proof Soft TPU Gel Case Silicon Protective Skin Cover for iPhone 7 / iPhone 8 4.7inch only",VIVIBIN,$7.98,$7.98,False,440,4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,3
1733,"VIVIBIN iPhone 7 Plus Case,iPhone 8 Plus Case,Cute Red Roses Grey Marble for Women Girls Clear Bumper Best Protective Soft Silicone Rubber Matte TPU Cover Slim Fit Phone Case for iPhone 7 Plus/8Plus",VIVIBIN,$7.98,$7.98,False,218,4.0 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,4
1734,"VIVIBIN iPhone 6 Case,iPhone 6s Case,Cute Red Roses Grey Marble for Women Girls Clear Bumper Soft Silicone Rubber Matte TPU Best Protective Cover Slim Fit Phone Case for iPhone 6/iPhone 6s",VIVIBIN,$8.90,$8.90,False,48,4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,5
1735,"iPhone 7 Case,iPhone 8 Case,VIVIBIN Cute Black White Marble for Men Women Girls Clear Bumper Best Protective Shockproof Soft Silicone Rubber Matte TPU Cover Slim Fit Thin Phone Case for iPhone 7/8",VIVIBIN,$7.98,$7.98,False,92,4.1 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,6
1736,"VIVIBIN iPhone 7 Case,iPhone 8 Case,Cute Red Roses Grey Marble for Women Girls Clear Bumper Soft Silicone Rubber Matte TPU Best Protective Cover Slim Fit Phone Case for iPhone 7/iPhone 8-158",VIVIBIN,$7.98,$7.98,False,67,4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,7
1737,"iPhone X Case,iPhone Xs Case,VIVIBIN Cute Black White Marble for Men Women Girls Clear Bumper Slim Fit Matte TPU Soft Silicone Rubber Best Protective Cover Thin Phone Case for iPhone X/iPhone Xs",VIVIBIN,$6.95,$6.95,False,123,4.3 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,8
1738,"VIVIBIN iPhone XR Case,Grey Marble Florals for Girls Women Clear Bumper Soft Silicone Rubber Cute Glossy TPU Cover Slim Fit Best Protective Thin Phone Case for iPhone XR [6.1""] 149",VIVIBIN,$6.95,$6.95,False,56,4.2 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,9
1739,"VIVIBIN iPhone 6 Plus Case,iPhone 6s Plus Case,Cute Grey Marble Florals for Women Girls Clear Bumper Best Protective Soft Silicone Rubber Matte TPU Cover Slim Fit Phone Case for iPhone 6 6s Plus-149",VIVIBIN,$7.98,$7.98,False,294,4.4 out of 5 stars,['FREE Shipping on orders over $25 shipped by Amazon'],1,10
